編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2013/3/21 下午 06:50:00,121.05,22.78,4.5,2.3,臺東縣政府西偏北方  11.1  公里 (位於臺東縣卑南鄉)
小區域,2013/3/21 下午 03:37:00,121.05,22.78,5,2.6,臺東縣政府西偏北方  11.1  公里 (位於臺東縣卑南鄉)
小區域,2013/3/21 上午 12:38:00,121.95,24.45,12.5,2.9,宜蘭縣政府東南方  36.6  公里 (位於臺灣東部海域)
小區域,2013/3/20 下午 05:25:00,121.95,24.45,10.3,3.2,宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)
小區域,2013/3/20 下午 05:15:00,121.96,24.45,13,3,宜蘭縣政府東南方  36.9  公里 (位於臺灣東部海域)
102040   ,2013/3/20 下午 03:22:00,121.95,24.45,12.1,4.6,宜蘭縣政府東南方  35.9  公里 (位於臺灣東部海域)
102039   ,2013/3/20 下午 02:05:00,120.85,22.65,8.6,3.6,臺東縣政府西偏南方  33.4  公里 (位於臺東縣金峰鄉)
小區域,2013/3/19 下午 08:51:00,121.44,24.28,6.8,3.2,花蓮縣政府北偏西方  37.0  公里 (位於花蓮縣秀林鄉)
102038   ,2013/3/19 上午 10:50:00,121.71,23.93,7.9,3.5,花蓮縣政府東南方  11.7  公里 (位於臺灣東部海域)
小區域,2013/3/19 上午 05:07:00,121.65,24.03,30.4,3.6,花蓮縣政府東北方  4.8  公里 (位於花蓮縣近海)
102037   ,2013/3/17 下午 09:53:00,120.93,23.68,12.3,4.4,南投縣政府東南方  34.7  公里 (位於南投縣信義鄉)
小區域,2013/3/17 下午 06:06:00,121.95,24.46,13.5,3.2,宜蘭縣政府東南方  36.0  公里 (位於臺灣東部海域)
小區域,2013/3/17 上午 09:25:00,120.76,23.13,5,2.7,嘉義市政府東南方  49.7  公里 (位於高雄市桃源區)
小區域,2013/3/17 上午 07:18:00,121.46,24.32,6.3,3,花蓮縣政府北偏西方  40.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/16 上午 04:06:00,121.68,24.13,9.8,2.5,花蓮縣政府北偏東方  16.3  公里 (位於花蓮縣近海)
小區域,2013/3/16 上午 02:39:00,121.42,24.3,7.6,3.2,花蓮縣政府北偏西方  39.7  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/14 上午 09:53:00,121.92,24.41,26.6,4,宜蘭縣政府南偏東方  39.2  公里 (位於臺灣東部海域)
小區域,2013/3/13 下午 10:01:00,121.44,24.32,6.2,3.1,花蓮縣政府北偏西方  40.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/13 下午 06:40:00,121.8,24.17,11,3.8,花蓮縣政府東北方  26.9  公里 (位於臺灣東部海域)
小區域,2013/3/13 下午 06:06:00,121.44,24.28,6.9,2.7,花蓮縣政府北偏西方  37.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/13 上午 11:51:00,121.81,24.17,9.8,4.4,花蓮縣政府東北方  27.6  公里 (位於臺灣東部海域)
小區域,2013/3/13 上午 09:00:00,121.47,24.35,8,3.9,花蓮縣政府北偏西方  42.5  公里 (位於宜蘭縣南澳鄉)
102036   ,2013/3/13 上午 08:59:00,121.47,24.35,7.9,3.6,花蓮縣政府北偏西方  42.3  公里 (位於宜蘭縣南澳鄉)
102035   ,2013/3/12 下午 05:03:00,121.78,24.36,51.9,5,宜蘭縣政府南方  41.0  公里 (位於宜蘭縣近海)
小區域,2013/3/12 下午 03:18:00,121.44,24.34,6.7,3.3,花蓮縣政府北偏西方  43.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/12 下午 02:14:00,121.45,24.34,6.2,3.6,花蓮縣政府北偏西方  41.8  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/12 下午 02:01:00,121.44,24.35,6.2,3,花蓮縣政府北偏西方  43.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/12 下午 12:41:00,120.87,22.82,6.2,3.1,臺東縣政府西偏北方  29.3  公里 (位於臺東縣延平鄉)
小區域,2013/3/12 下午 12:11:00,121.95,24.46,12.2,3.1,宜蘭縣政府東南方  36.0  公里 (位於臺灣東部海域)
小區域,2013/3/12 上午 11:01:00,121.43,24.34,6.6,3.2,花蓮縣政府北偏西方  42.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/12 上午 10:30:00,121.43,24.33,5.9,3.2,花蓮縣政府北偏西方  42.4  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/12 上午 09:15:00,121.45,24.35,6.3,3.3,花蓮縣政府北偏西方  43.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/11 上午 11:59:00,121.48,24.31,7.3,2.9,花蓮縣政府北偏西方  37.4  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/11 上午 11:32:00,121.45,24.32,6.7,3.4,花蓮縣政府北偏西方  40.4  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/11 上午 04:55:00,121.45,24.29,7.3,3.2,花蓮縣政府北偏西方  37.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/11 上午 03:47:00,121.95,24.47,12.6,3,宜蘭縣政府東南方  34.9  公里 (位於臺灣東部海域)
102034   ,2013/3/10 下午 04:02:00,121.45,24.32,5.8,3.8,花蓮縣政府北偏西方  40.2  公里 (位於花蓮縣秀林鄉)
102033   ,2013/3/9 下午 05:15:00,121.47,23.94,17.5,3.2,花蓮縣政府西偏南方  16.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/9 上午 07:54:00,121.56,23.74,20.4,3.1,花蓮縣政府南偏西方  28.0  公里 (位於花蓮縣近海)
小區域,2013/3/8 下午 09:56:00,121.97,24.45,13.7,3.2,宜蘭縣政府東南方  38.0  公里 (位於臺灣東部海域)
小區域,2013/3/8 下午 07:26:00,121.43,24.33,7.3,3,花蓮縣政府北偏西方  41.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/8 下午 05:08:00,121.43,24.3,6.9,3.4,花蓮縣政府北偏西方  39.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/8 上午 09:57:00,121.43,24.31,7.6,3.5,花蓮縣政府北偏西方  40.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/8 上午 08:19:00,121.47,24.3,7.7,2.9,花蓮縣政府北偏西方  37.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 08:44:00,121.44,24.29,6.6,3.2,花蓮縣政府北偏西方  37.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 07:02:00,121.44,24.35,6.3,3.8,花蓮縣政府北偏西方  43.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 05:57:00,121.44,24.35,7.2,3.1,花蓮縣政府北偏西方  43.5  公里 (位於花蓮縣秀林鄉)
102032   ,2013/3/7 下午 04:07:00,121.45,24.34,6,4.6,花蓮縣政府北偏西方  41.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 03:57:00,121.44,24.35,7.7,4,花蓮縣政府北偏西方  43.6  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 03:27:00,121.43,24.34,6.5,2.9,花蓮縣政府北偏西方  42.9  公里 (位於花蓮縣秀林鄉)
102031   ,2013/3/7 下午 03:00:00,121.43,24.29,7.4,3.9,花蓮縣政府北偏西方  38.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 02:56:00,121.44,24.29,6.8,3.3,花蓮縣政府北偏西方  37.4  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 01:27:00,121.44,24.28,7.2,2.9,花蓮縣政府北偏西方  37.2  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 01:06:00,121.45,24.33,5.9,3.1,花蓮縣政府北偏西方  41.7  公里 (位於花蓮縣秀林鄉)
102030   ,2013/3/7 下午 12:52:00,121.44,24.28,7.2,4.3,花蓮縣政府北偏西方  36.9  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 12:28:00,121.44,24.28,6.9,3.6,花蓮縣政府北偏西方  37.2  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 12:16:00,121.44,24.29,7.2,3.4,花蓮縣政府北偏西方  37.6  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 12:04:00,121.43,24.34,6,3.4,花蓮縣政府北偏西方  43.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 下午 12:03:00,121.44,24.34,6.9,3.7,花蓮縣政府北偏西方  42.6  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 11:58:00,121.44,24.34,6.9,3.3,花蓮縣政府北偏西方  43.0  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 11:54:00,121.44,24.32,5.8,2.9,花蓮縣政府北偏西方  40.2  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 11:46:00,121.44,24.28,7.2,3.4,花蓮縣政府北偏西方  36.7  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 11:39:00,121.42,24.31,7.9,3.9,花蓮縣政府北偏西方  41.3  公里 (位於花蓮縣秀林鄉)
102029   ,2013/3/7 上午 11:36:00,121.46,24.3,5.6,5.9,花蓮縣政府北偏西方  38.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 09:36:00,121.44,24.3,6.6,3.1,花蓮縣政府北偏西方  38.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/7 上午 07:35:00,121.93,24.44,14.2,3,宜蘭縣政府南偏東方  36.8  公里 (位於臺灣東部海域)
102028   ,2013/3/7 上午 06:37:00,122.1,24.61,69.8,4.7,宜蘭縣政府東偏南方  36.8  公里 (位於臺灣東部海域)
102027   ,2013/3/6 下午 07:49:00,121.97,24.44,13.4,4.4,宜蘭縣政府東南方  38.4  公里 (位於臺灣東部海域)
小區域,2013/3/6 上午 05:24:00,121.44,24.33,7.2,3.5,花蓮縣政府北偏西方  42.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/5 下午 09:08:00,121.91,24.74,81.7,4,宜蘭縣政府東方  15.0  公里 (位於宜蘭縣近海)
小區域,2013/3/4 下午 09:16:00,121.62,23.8,34.5,3.6,花蓮縣政府南方  21.3  公里 (位於花蓮縣近海)
小區域,2013/3/4 下午 06:28:00,121.44,24.33,7.2,3,花蓮縣政府北偏西方  42.3  公里 (位於花蓮縣秀林鄉)
102026   ,2013/3/4 下午 04:42:00,121.33,23,23.7,4.6,臺東縣政府東北方  32.9  公里 (位於臺東縣近海)
小區域,2013/3/4 下午 03:21:00,120.57,23.57,10.5,3,嘉義市政府東北方  15.2  公里 (位於嘉義縣梅山鄉)
小區域,2013/3/4 上午 08:42:00,121.44,24.31,6.5,3.2,花蓮縣政府北偏西方  40.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/2 下午 11:01:00,121.4,24.09,60.1,4,花蓮縣政府西偏北方  24.7  公里 (位於花蓮縣秀林鄉)
小區域,2013/3/1 下午 07:21:00,120.95,22.42,15.7,3.5,臺東縣政府南偏西方  42.2  公里 (位於臺東縣近海)
小區域,2013/2/27 下午 05:26:00,121.44,24.32,7.3,3.2,花蓮縣政府北偏西方  41.2  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/27 上午 04:38:00,121.45,24.31,6,3.6,花蓮縣政府北偏西方  39.6  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/25 下午 09:08:00,121.71,24.47,8.1,3.2,宜蘭縣政府南偏西方  29.8  公里 (位於宜蘭縣南澳鄉)
小區域,2013/2/24 上午 08:27:00,122.83,24.55,96.5,4.6,宜蘭縣政府東方  109.6  公里 (位於臺灣東部海域)
小區域,2013/2/23 下午 12:00:00,121.72,24.34,16.6,3,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣南澳鄉)
小區域,2013/2/22 上午 08:30:00,121.44,24.32,6.3,3.2,花蓮縣政府北偏西方  40.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/22 上午 05:22:00,121.44,24.3,6.8,3.3,花蓮縣政府北偏西方  38.6  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/22 上午 02:39:00,121.44,24.3,6.7,3.2,花蓮縣政府北偏西方  38.5  公里 (位於花蓮縣秀林鄉)
102025   ,2013/2/22 上午 02:35:00,121.44,24.31,6.4,4.8,花蓮縣政府北偏西方  39.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/22 上午 02:35:00,121.45,24.31,6.6,3.4,花蓮縣政府北偏西方  39.5  公里 (位於花蓮縣秀林鄉)
102024   ,2013/2/22 上午 02:33:00,121.45,24.31,5.3,4.4,花蓮縣政府北偏西方  39.4  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/21 上午 12:02:00,121.38,23.23,18.9,3.5,臺東縣政府北偏東方  57.7  公里 (位於臺東縣長濱鄉)
102023   ,2013/2/20 下午 11:20:00,121.39,23.23,20,4.5,臺東縣政府北偏東方  57.9  公里 (位於臺東縣長濱鄉)
小區域,2013/2/19 下午 03:45:00,121.47,24.37,8.6,3.4,花蓮縣政府北偏西方  44.9  公里 (位於宜蘭縣南澳鄉)
102022   ,2013/2/19 下午 02:52:00,120.6,22.91,15.6,4.7,屏東縣政府北偏東方  27.9  公里 (位於高雄市六龜區)
102021   ,2013/2/19 上午 10:12:00,120.55,23.35,15.1,4.6,嘉義市政府東南方  17.4  公里 (位於嘉義縣大埔鄉)
小區域,2013/2/19 上午 05:25:00,120.88,23.48,3.2,3.6,雲林縣政府東偏南方  43.4  公里 (位於南投縣信義鄉)
102020   ,2013/2/19 上午 12:58:00,119.88,22.61,46.2,3.7,高雄市政府西方  44.5  公里 (位於臺灣西部海域)
小區域,2013/2/19 上午 12:27:00,121.97,24.44,11.9,3.1,宜蘭縣政府東南方  38.9  公里 (位於臺灣東部海域)
小區域,2013/2/19 上午 12:26:00,121.95,24.46,12.7,2.8,宜蘭縣政府東南方  36.1  公里 (位於臺灣東部海域)
小區域,2013/2/18 上午 12:55:00,121.44,24.35,7.2,3.6,花蓮縣政府北偏西方  43.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/17 下午 01:04:00,121.68,24.07,42.9,4.1,花蓮縣政府東北方  10.6  公里 (位於花蓮縣近海)
102019   ,2013/2/17 上午 09:37:00,121.44,24.32,6.3,3.9,花蓮縣政府北偏西方  40.7  公里 (位於花蓮縣秀林鄉)
102018   ,2013/2/17 上午 09:32:00,121.45,24.32,6.3,4.6,花蓮縣政府北偏西方  40.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/17 上午 08:01:00,120.97,23.15,4.9,3,臺東縣政府北偏西方  48.0  公里 (位於臺東縣海端鄉)
小區域,2013/2/17 上午 07:06:00,121.44,24.32,6.3,3.6,花蓮縣政府北偏西方  40.5  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/17 上午 06:37:00,121.61,24.02,45.2,3.6,花蓮縣政府北偏西方  3.1  公里 (位於花蓮縣新城鄉)
小區域,2013/2/16 下午 04:07:00,121.36,23.1,20.1,3.9,臺東縣政府北偏東方  44.0  公里 (位於臺東縣成功鎮)
小區域,2013/2/14 上午 05:41:00,121.07,23.98,10.9,3.7,南投縣政府東方  39.8  公里 (位於南投縣仁愛鄉)
小區域,2013/2/13 下午 02:04:00,121.46,23.95,23.1,2.9,花蓮縣政府西偏南方  17.1  公里 (位於花蓮縣秀林鄉)
小區域,2013/2/12 下午 11:09:00,121.49,24.39,6.7,3.1,花蓮縣政府北偏西方  45.7  公里 (位於宜蘭縣南澳鄉)
小區域,2013/2/12 下午 04:42:00,121.95,24.45,13.1,3.7,宜蘭縣政府東南方  36.2  公里 (位於臺灣東部海域)
小區域,2013/2/12 下午 02:39:00,121.85,24.78,79.1,3.9,宜蘭縣政府東偏北方  9.8  公里 (位於宜蘭縣近海)
小區域,2013/2/10 下午 09:30:00,120.44,22.77,31.8,3.2,屏東縣政府北偏西方  10.6  公里 (位於高雄市大樹區)
小區域,2013/2/9 上午 01:25:00,121,24.01,16.1,3.7,南投縣政府東偏北方  33.8  公里 (位於南投縣埔里鎮)
小區域,2013/2/9 上午 12:16:00,121.06,23.87,28.8,2.9,南投縣政府東方  37.9  公里 (位於南投縣仁愛鄉)
小區域,2013/2/8 下午 07:27:00,120.92,23.2,6.8,2.5,臺東縣政府北偏西方  54.1  公里 (位於臺東縣海端鄉)
小區域,2013/2/8 下午 03:20:00,121.45,23.03,21.2,3.3,臺東縣政府東北方  42.9  公里 (位於臺灣東部海域)
小區域,2013/2/8 上午 03:56:00,121.41,23.66,17.3,3.4,花蓮縣政府南偏西方  42.8  公里 (位於花蓮縣光復鄉)
小區域,2013/2/7 下午 07:43:00,121.41,23.75,19.8,3.6,花蓮縣政府西南方  33.8  公里 (位於花蓮縣萬榮鄉)
小區域,2013/2/7 下午 05:21:00,121.96,24.45,13.2,3,宜蘭縣政府東南方  36.7  公里 (位於臺灣東部海域)
小區域,2013/2/7 上午 03:32:00,121.48,23.73,8.5,2.3,花蓮縣政府南偏西方  32.6  公里 (位於花蓮縣鳳林鎮)
小區域,2013/2/7 上午 01:26:00,121.81,24.26,15.2,2.7,花蓮縣政府東北方  35.8  公里 (位於花蓮縣近海)
小區域,2013/2/7 上午 12:24:00,121.8,24.26,15.6,3.3,花蓮縣政府東北方  35.5  公里 (位於花蓮縣近海)
小區域,2013/2/6 下午 11:01:00,121.96,24.45,12.7,3,宜蘭縣政府東南方  36.4  公里 (位於臺灣東部海域)
102017   ,2013/2/6 下午 07:58:00,121.53,24.1,21.2,4.5,花蓮縣政府西北方  15.5  公里 (位於花蓮縣秀林鄉)
102016   ,2013/2/6 下午 05:00:00,121.98,24.44,14.5,4.2,宜蘭縣政府東南方  38.5  公里 (位於臺灣東部海域)
小區域,2013/2/4 下午 05:35:00,121.97,24.45,13,3.8,宜蘭縣政府東南方  37.2  公里 (位於臺灣東部海域)
102015   ,2013/2/4 上午 05:46:00,121.56,23.51,33.9,4.2,花蓮縣政府南方  53.2  公里 (位於花蓮縣近海)
小區域,2013/2/3 下午 03:45:00,121.81,24.27,15.6,3,花蓮縣政府東北方  36.9  公里 (位於花蓮縣近海)
小區域,2013/2/3 下午 03:38:00,121.81,24.27,15.8,3.3,花蓮縣政府東北方  36.7  公里 (位於花蓮縣近海)
小區域,2013/2/3 下午 03:37:00,121.81,24.27,15.7,3.5,花蓮縣政府東北方  36.5  公里 (位於花蓮縣近海)
小區域,2013/2/3 下午 01:43:00,121.96,24.45,13.1,3.6,宜蘭縣政府東南方  36.9  公里 (位於臺灣東部海域)
102014   ,2013/2/2 上午 11:39:00,121.98,23.75,35,5.6,花蓮縣政府東南方  45.4  公里 (位於臺灣東部海域)
小區域,2013/2/2 上午 07:15:00,121.9,24.51,28.7,3.7,宜蘭縣政府南偏東方  28.2  公里 (位於宜蘭縣近海)
小區域,2013/2/2 上午 05:08:00,121.42,23.72,17.3,2.6,花蓮縣政府西南方  36.0  公里 (位於花蓮縣鳳林鎮)
小區域,2013/2/2 上午 02:03:00,120.96,23.15,5.6,4.1,臺東縣政府北偏西方  47.8  公里 (位於臺東縣海端鄉)
小區域,2013/1/31 上午 10:24:00,121.79,24.32,7.3,2.5,花蓮縣政府北偏東方  40.5  公里 (位於宜蘭縣近海)
小區域,2013/1/31 上午 02:43:00,120.96,23.15,4.3,3.6,臺東縣政府北偏西方  48.2  公里 (位於臺東縣海端鄉)
小區域,2013/1/30 下午 06:45:00,121.96,24.46,12.7,2.9,宜蘭縣政府東南方  36.3  公里 (位於臺灣東部海域)
小區域,2013/1/30 下午 05:35:00,121.51,23.23,38,3.7,臺東縣政府東北方  64.2  公里 (位於臺灣東部海域)
102013   ,2013/1/29 上午 04:41:00,121.47,23.95,17.8,2.9,花蓮縣政府西偏南方  16.2  公里 (位於花蓮縣秀林鄉)
102012   ,2013/1/28 下午 11:20:00,121.74,24.18,12.2,3.1,花蓮縣政府北偏東方  24.5  公里 (位於花蓮縣近海)
小區域,2013/1/28 上午 10:10:00,120.97,23.15,5.3,3.2,臺東縣政府北偏西方  47.8  公里 (位於臺東縣海端鄉)
小區域,2013/1/28 上午 05:03:00,120.96,23.16,4.7,3.3,臺東縣政府北偏西方  48.6  公里 (位於臺東縣海端鄉)
小區域,2013/1/28 上午 04:36:00,120.98,24.35,7,3.6,苗栗縣政府東南方  28.7  公里 (位於苗栗縣泰安鄉)
小區域,2013/1/28 上午 12:21:00,121.96,24.45,12.5,3.3,宜蘭縣政府東南方  37.5  公里 (位於臺灣東部海域)
小區域,2013/1/27 下午 05:24:00,121.97,24.45,13.8,3.2,宜蘭縣政府東南方  37.7  公里 (位於臺灣東部海域)
小區域,2013/1/26 上午 02:20:00,121.46,23.9,17.2,2.5,花蓮縣政府西偏南方  19.3  公里 (位於花蓮縣秀林鄉)
小區域,2013/1/22 上午 07:02:00,121.75,24.01,6.9,3.7,花蓮縣政府東方  13.3  公里 (位於臺灣東部海域)
102011   ,2013/1/21 上午 03:09:00,122.52,24.7,108.2,5.6,宜蘭縣政府東方  76.5  公里 (位於臺灣東部海域)
小區域,2013/1/20 下午 04:25:00,121.52,24.04,16.6,2.4,花蓮縣政府西偏北方  11.8  公里 (位於花蓮縣秀林鄉)
小區域,2013/1/20 上午 06:06:00,121.63,24.06,9,3.1,花蓮縣政府北方  8.2  公里 (位於花蓮縣近海)
小區域,2013/1/19 下午 05:50:00,121.95,24.4,19.6,3.3,宜蘭縣政府南偏東方  41.4  公里 (位於臺灣東部海域)
小區域,2013/1/19 上午 08:30:00,121.97,24.41,47.7,4.2,宜蘭縣政府南偏東方  41.2  公里 (位於臺灣東部海域)
小區域,2013/1/19 上午 06:57:00,120.85,24.25,8.1,2.3,臺中市政府東偏北方  20.7  公里 (位於臺中市東勢區)
小區域,2013/1/18 下午 03:14:00,120.97,23.17,6.1,3.6,臺東縣政府北偏西方  49.5  公里 (位於臺東縣海端鄉)
小區域,2013/1/18 上午 09:52:00,120.97,23.16,5.9,3.5,臺東縣政府北偏西方  48.0  公里 (位於臺東縣海端鄉)
小區域,2013/1/18 上午 01:38:00,121.98,24.45,14,3.1,宜蘭縣政府東南方  38.3  公里 (位於臺灣東部海域)
小區域,2013/1/17 下午 07:04:00,121.99,24.45,12.9,3.7,宜蘭縣政府東南方  38.9  公里 (位於臺灣東部海域)
小區域,2013/1/17 下午 04:43:00,121.99,24.44,14,3.3,宜蘭縣政府東南方  39.4  公里 (位於臺灣東部海域)
小區域,2013/1/17 下午 04:35:00,121.98,24.45,12.5,3.4,宜蘭縣政府東南方  38.2  公里 (位於臺灣東部海域)
102010   ,2013/1/17 下午 04:30:00,121.98,24.44,13.7,5.1,宜蘭縣政府東南方  39.0  公里 (位於臺灣東部海域)
小區域,2013/1/17 下午 01:15:00,121.27,22.85,42.3,4.1,臺東縣政府東北方  16.1  公里 (位於臺東縣近海)
小區域,2013/1/17 下午 01:09:00,121.29,22.85,42.6,4.3,臺東縣政府東北方  17.1  公里 (位於臺灣東部海域)
小區域,2013/1/17 上午 09:57:00,120.36,23.1,16.6,3.1,臺南市政府東偏北方  21.6  公里 (位於臺南市山上區)
小區域,2013/1/16 下午 11:46:00,121.58,23.82,24.6,3,花蓮縣政府南偏西方  19.1  公里 (位於花蓮縣近海)
小區域,2013/1/16 上午 09:31:00,121.56,25.16,4,2.7,臺北市政府北方  13.4  公里 (位於臺北市士林區)
小區域,2013/1/16 上午 01:34:00,121.69,23.05,23.6,3.9,臺東縣政府東偏北方  64.3  公里 (位於臺灣東部海域)
102009   ,2013/1/14 下午 10:27:00,121.25,22.8,15.7,4,臺東縣政府東偏北方  10.8  公里 (位於臺東縣近海)
102008   ,2013/1/13 上午 06:47:00,119.88,22.33,42.2,3.6,高雄市政府西南方  54.5  公里 (位於臺灣西部海域)
小區域,2013/1/12 下午 08:34:00,122.35,24.02,24.7,4.8,花蓮縣政府東方  74.6  公里 (位於臺灣東部海域)
小區域,2013/1/8 下午 01:00:00,121.04,22.82,8.8,3.9,臺東縣政府西偏北方  14.2  公里 (位於臺東縣卑南鄉)
102007   ,2013/1/7 下午 02:49:00,122.84,24.48,69.4,5.7,宜蘭縣政府東偏南方  112.7  公里 (位於臺灣東部海域)
小區域,2013/1/6 下午 07:26:00,121.97,24.81,7.5,3.5,宜蘭縣政府東偏北方  23.0  公里 (位於臺灣東部海域)
小區域,2013/1/6 上午 03:20:00,121.48,23.92,15.5,2.4,花蓮縣政府西偏南方  16.6  公里 (位於花蓮縣秀林鄉)
102006   ,2013/1/5 上午 04:38:00,122.43,24.35,71.4,5,宜蘭縣政府東偏南方  79.4  公里 (位於臺灣東部海域)
小區域,2013/1/4 下午 03:41:00,121.47,23.8,12,3,花蓮縣政府西南方  26.2  公里 (位於花蓮縣鳳林鎮)
102005   ,2013/1/4 上午 11:29:00,122.36,24.01,24.4,4.9,花蓮縣政府東方  75.6  公里 (位於臺灣東部海域)
102004   ,2013/1/4 上午 02:08:00,121.73,23.99,6.8,4.7,花蓮縣政府東方  11.2  公里 (位於臺灣東部海域)
102003   ,2013/1/3 下午 10:37:00,121.74,23.98,7,4.3,花蓮縣政府東方  12.0  公里 (位於臺灣東部海域)
102002   ,2013/1/3 下午 10:00:00,121.73,23.98,6.8,4.5,花蓮縣政府東方  11.3  公里 (位於臺灣東部海域)
小區域,2013/1/3 下午 08:08:00,121.3,22.78,18.4,4.2,臺東縣政府東方  15.1  公里 (位於臺灣東部海域)
小區域,2013/1/3 上午 01:04:00,121.8,24.39,22.7,3,宜蘭縣政府南方  37.8  公里 (位於宜蘭縣近海)
小區域,2013/1/2 下午 08:23:00,121.89,24.44,12.7,3.7,宜蘭縣政府南偏東方  34.2  公里 (位於宜蘭縣近海)
102001   ,2013/1/2 下午 08:01:00,121.74,23.97,7.1,4.7,花蓮縣政府東方  12.2  公里 (位於臺灣東部海域)
小區域,2013/1/2 上午 10:09:00,121.29,22.85,18.4,3.2,臺東縣政府東北方  18.2  公里 (位於臺灣東部海域)
小區域,2013/1/1 上午 05:07:00,120.81,22.66,41.7,3.9,屏東縣政府東方  33.0  公里 (位於臺東縣金峰鄉)
小區域,2013/1/1 上午 03:00:00,120.33,23.25,10,3,嘉義縣政府南方  23.5  公里 (位於臺南市六甲區)
小區域,2012/12/31 下午 03:51:00,120.9,23.46,3.7,4.4,嘉義市政府東方  45.9  公里 (位於高雄市桃源區)
小區域,2012/12/31 上午 12:26:00,120.9,23.48,4.5,3.5,雲林縣政府東偏南方  45.7  公里 (位於南投縣信義鄉)
小區域,2012/12/31 上午 12:21:00,120.9,23.47,3.7,4.1,嘉義市政府東方  45.9  公里 (位於嘉義縣阿里山鄉)
小區域,2012/12/31 上午 12:17:00,120.9,23.47,3.8,3.4,嘉義市政府東方  46.1  公里 (位於嘉義縣阿里山鄉)
101214   ,2012/12/31 上午 12:03:00,120.91,23.47,4.4,5.3,嘉義市政府東方  46.3  公里 (位於嘉義縣阿里山鄉)
小區域,2012/12/30 下午 08:06:00,121.31,22.85,9.6,3.2,台東縣政府東偏北方  19.6  公里 (位於台灣東部海域)
小區域,2012/12/30 下午 01:48:00,121.94,24.5,59.1,4.1,宜蘭縣政府東南方  31.5  公里 (位於台灣東部海域)
小區域,2012/12/29 下午 07:06:00,121.89,24.23,52.8,4.5,花蓮縣政府東北方  38.6  公里 (位於台灣東部海域)
小區域,2012/12/29 下午 02:07:00,120.79,23.87,26.5,3.1,南投縣政府東偏南方  10.7  公里 (位於南投縣中寮鄉)
小區域,2012/12/29 上午 02:59:00,121.54,23.71,5.4,2.5,花蓮縣政府南偏西方  31.8  公里 (位於花蓮縣豐濱鄉)
小區域,2012/12/28 上午 05:43:00,121.47,23.92,13,2.8,花蓮縣政府西偏南方  17.3  公里 (位於花蓮縣秀林鄉)
