編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2011/11/21 下午 09:55:00,120.85,22.68,7.8,2.8,台東縣政府西偏南方  32.2  公里 (位於台東縣卑南鄉)
小區域,2011/11/21 下午 07:41:00,120.6,23.51,14.1,2.8,嘉義市政府東方  14.8  公里 (位於嘉義縣竹崎鄉)
100159   ,2011/11/21 上午 03:14:00,121.57,23.67,31,4.3,花蓮縣政府南方  35.8  公里 (位於花蓮縣近海)
小區域,2011/11/20 上午 01:22:00,121.48,24.36,7.9,3.1,花蓮縣政府北偏西方  43.6  公里 (位於宜蘭縣南澳鄉)
100158   ,2011/11/19 下午 10:35:00,120.86,22.68,7.9,3.9,台東縣政府西偏南方  30.6  公里 (位於台東縣卑南鄉)
小區域,2011/11/19 下午 10:34:00,120.86,22.69,8.3,2.9,台東縣政府西偏南方  31.3  公里 (位於台東縣卑南鄉)
小區域,2011/11/19 下午 10:33:00,120.86,22.69,7.6,3.3,台東縣政府西偏南方  30.9  公里 (位於台東縣卑南鄉)
100157   ,2011/11/19 下午 05:20:00,120.57,23.29,5.9,3.1,嘉義市政府南偏東方  24.7  公里 (位於嘉義縣大埔鄉)
100156   ,2011/11/19 下午 03:43:00,121.62,23.92,39.3,4.3,花蓮縣政府南方  7.5  公里 (位於花蓮縣近海)
小區域,2011/11/18 上午 05:10:00,121.39,23.8,22.4,3.4,花蓮縣政府西南方  31.4  公里 (位於花蓮縣萬榮鄉)
小區域,2011/11/18 上午 01:16:00,121.8,24.37,56.3,4.1,宜蘭縣政府南方  40.6  公里 (位於宜蘭縣近海)
小區域,2011/11/18 上午 12:46:00,121.49,24.36,5.5,3.5,花蓮縣政府北偏西方  43.4  公里 (位於宜蘭縣南澳鄉)
100155   ,2011/11/17 下午 07:31:00,121.91,24.68,64.9,4.2,宜蘭縣政府東偏南方  16.0  公里 (位於宜蘭縣近海)
小區域,2011/11/17 上午 10:55:00,121.64,24.33,23.4,3,花蓮縣政府北方  37.2  公里 (位於花蓮縣秀林鄉)
100154   ,2011/11/16 下午 12:54:00,121.48,24.37,6.6,3.4,花蓮縣政府北偏西方  44.1  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/16 上午 06:19:00,121.77,24.63,7.9,3,宜蘭縣政府南方  11.2  公里 (位於宜蘭縣冬山鄉)
小區域,2011/11/16 上午 04:35:00,121.49,24.37,6.1,3.1,花蓮縣政府北偏西方  43.7  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/16 上午 03:07:00,121.49,24.37,5.7,3.1,花蓮縣政府北偏西方  44.1  公里 (位於宜蘭縣南澳鄉)
100153   ,2011/11/16 上午 02:59:00,121.48,24.36,7,3.8,花蓮縣政府北偏西方  43.7  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/15 下午 03:33:00,121.31,22.83,19.5,3.5,台東縣政府東偏北方  17.8  公里 (位於台灣東部海域)
小區域,2011/11/15 上午 04:02:00,122,23.81,32.4,4,花蓮縣政府東偏南方  43.3  公里 (位於台灣東部海域)
小區域,2011/11/13 上午 06:18:00,120.44,23.19,9.7,3.4,嘉義市政府南方  32.2  公里 (位於台南市大內區)
小區域,2011/11/13 上午 03:43:00,121.48,24.36,7.2,2.9,花蓮縣政府北偏西方  42.9  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/13 上午 03:42:00,121.49,24.37,6.3,3,花蓮縣政府北偏西方  44.0  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/12 上午 09:38:00,122.29,24,21.1,4.8,花蓮縣政府東方  68.6  公里 (位於台灣東部海域)
小區域,2011/11/10 下午 08:45:00,120.92,23.08,5.8,3.8,台東縣政府西北方  43.4  公里 (位於台東縣海端鄉)
小區域,2011/11/10 上午 08:57:00,121.64,23.87,5.9,3.2,花蓮縣政府南方  13.1  公里 (位於花蓮縣近海)
小區域,2011/11/10 上午 07:59:00,120.56,23.52,9.3,2.4,嘉義市政府東偏北方  11.6  公里 (位於嘉義縣竹崎鄉)
小區域,2011/11/10 上午 05:13:00,121.6,23.99,6.1,2.5,花蓮縣政府西方  1.9  公里 (位於花蓮縣花蓮市)
小區域,2011/11/9 下午 06:25:00,121.68,23.98,34.3,4,花蓮縣政府東方  6.4  公里 (位於花蓮縣近海)
100152   ,2011/11/9 下午 03:00:00,121.85,24.49,23.5,3.8,宜蘭縣政府南偏東方  27.9  公里 (位於宜蘭縣近海)
小區域,2011/11/9 上午 10:43:00,120.99,23.82,15.9,3,南投縣政府東偏南方  31.9  公里 (位於南投縣信義鄉)
小區域,2011/11/8 上午 03:24:00,121.05,22.76,6.3,3.4,台東縣政府西方  9.9  公里 (位於台東縣台東市)
小區域,2011/11/7 下午 05:34:00,122.26,24.99,14.9,3.8,基隆市政府東偏南方  54.3  公里 (位於台灣東部海域)
小區域,2011/11/7 下午 01:50:00,121.62,24.02,9.7,2.6,花蓮縣政府北方  2.8  公里 (位於花蓮縣花蓮市)
100151   ,2011/11/6 下午 05:36:00,120.33,23.25,9.9,4,嘉義縣政府南方  23.7  公里 (位於台南市六甲區)
小區域,2011/11/5 下午 10:04:00,121.42,23.78,28,3.1,花蓮縣政府西南方  31.2  公里 (位於花蓮縣萬榮鄉)
100150   ,2011/11/5 上午 01:59:00,121.49,24.36,6.7,3.8,花蓮縣政府北偏西方  42.8  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/5 上午 01:47:00,121.59,23.81,27.7,3.8,花蓮縣政府南方  19.9  公里 (位於花蓮縣近海)
100149   ,2011/11/4 上午 11:11:00,121.49,24.35,6.5,4,花蓮縣政府北偏西方  42.3  公里 (位於宜蘭縣南澳鄉)
小區域,2011/11/3 下午 12:36:00,121.51,24.06,21,3.4,花蓮縣政府西偏北方  14.2  公里 (位於花蓮縣秀林鄉)
小區域,2011/11/3 上午 01:58:00,120.48,23.47,8.6,2.2,嘉義市政府東偏南方  3.1  公里 (位於嘉義市東區)
小區域,2011/11/2 下午 10:28:00,121.14,22.86,14.9,3.4,台東縣政府北方  11.4  公里 (位於台東縣卑南鄉)
小區域,2011/11/2 上午 10:33:00,121.42,24.41,7.7,2.2,宜蘭縣政府西南方  49.5  公里 (位於宜蘭縣大同鄉)
小區域,2011/11/1 下午 02:11:00,121.85,24.5,23.1,3.2,宜蘭縣政府南偏東方  27.3  公里 (位於宜蘭縣近海)
100148   ,2011/10/31 下午 11:17:00,121.94,24.84,92.1,5,宜蘭縣政府東偏北方  21.7  公里 (位於台灣東部海域)
小區域,2011/10/31 上午 04:09:00,120.63,23.55,10.3,3,嘉義市政府東偏北方  19.7  公里 (位於嘉義縣梅山鄉)
小區域,2011/10/30 下午 01:28:00,121.67,24.13,29.3,3.3,花蓮縣政府北偏東方  16.2  公里 (位於花蓮縣近海)
100147   ,2011/10/30 上午 11:23:00,123.16,25.31,215.8,6.3,基隆市政府東方  143.6  公里 (位於台灣東北部海域)
小區域,2011/10/30 上午 01:47:00,120.29,23.22,15.5,2.8,嘉義縣政府南方  26.8  公里 (位於台南市官田區)
